"awayteam";"year";"hometeam";"phase";"goals_home";"goals_away";"fifa_home";"fifa_away";"goal_diff";"fifa_diff";"homeq_goals_scored";"homeq_goals_against";"homeq_offsides";"homeq_corners";"homeq_avrg_ontarget";"homeq_avrg_offtarget";"awayq_goals_scored";"awayq_goals_against";"awayq_offsides";"awayq_corners";"awayq_avrg_ontarget";"awayq_avrg_offtarget";"outcome"
"Croatia";2008;"Austria";"Alkulohko";0;1;341;1017;-1;-676;NA;NA;NA;NA;NA;NA;28;8;26;63;"5.75";"5";"loss"
"Croatia";2008;"Poland";"Alkulohko";0;1;805;1017;-1;-212;24;12;20;61;"5.71";"4.14";28;8;26;63;"5.75";"5";"loss"
"Croatia";2012;"Republic of Ireland";"Alkulohko";1;3;907;1053;-2;-146;20;8;27;42;"4.75";"4";21;7;12;86;"7";"6.5";"loss"
"Croatia";2012;"Italy";"Alkulohko";1;1;977;1053;0;-76;17;2;34;50;"6";"4.8";21;7;12;86;"7";"6.5";"draw"
"Czech Republic";2008;"Switzerland";"Alkulohko";0;1;644;1246;-1;-602;NA;NA;NA;NA;NA;NA;27;5;35;86;"7.08";"6.83";"loss"
"Czech Republic";2008;"Turkey";"Alkulohko";3;2;877;1246;1;-369;25;11;23;67;"5.25";"4.67";27;5;35;86;"7.08";"6.83";"win"
"Czech Republic";2012;"Russia";"Alkulohko";4;1;975;771;3;204;17;4;27;69;"5.9";"7.3";15;8;21;64;"4.7";"5.4";"win"
"Czech Republic";2012;"Greece";"Alkulohko";1;2;953;771;-1;182;14;5;29;52;"5.4";"6.3";15;8;21;64;"4.7";"5.4";"loss"
"Denmark";2012;"Netherlands";"Alkulohko";0;1;1234;1019;-1;215;37;8;25;63;"8.3";"6.1";15;6;26;38;"5.5";"5.88";"loss"
"England";2012;"Sweden";"Alkulohko";2;3;910;1145;-1;-235;31;11;24;64;"7.7";"7.9";17;5;23;43;"4.75";"5.62";"loss"
"England";2012;"France";"Alkulohko";1;1;964;1145;0;-181;15;4;36;68;"6.4";"6";17;5;23;43;"4.75";"5.62";"draw"
"France";2008;"Netherlands";"Alkulohko";4;1;1111;1143;3;-32;15;5;26;81;"7.75";"6.42";25;5;25;80;"7.17";"5.08";"win"
"France";2008;"Romania";"Alkulohko";0;0;1069;1143;0;-74;26;7;36;65;"5.58";"4.42";25;5;25;80;"7.17";"5.08";"draw"
"France";2012;"Sweden";"Alkulohko";2;0;910;964;2;-54;31;11;24;64;"7.7";"7.9";15;4;36;68;"6.4";"6";"win"
"France";2012;"Spain";"Puolivaliera";2;0;1456;964;2;492;26;6;24;70;"10.75";"7.38";15;4;36;68;"6.4";"6";"win"
"France";2012;"Ukraine";"Alkulohko";0;2;572;964;-2;-392;NA;NA;NA;NA;NA;NA;15;4;36;68;"6.4";"6";"loss"
"Germany";2008;"Austria";"Alkulohko";0;1;341;1274;-1;-933;NA;NA;NA;NA;NA;NA;35;7;24;87;"7.58";"7.42";"loss"
"Germany";2008;"Croatia";"Alkulohko";2;1;1017;1274;1;-257;28;8;26;63;"5.75";"5";35;7;24;87;"7.58";"7.42";"win"
"Germany";2008;"Portugal";"Puolivaliera";2;3;1094;1274;-1;-180;24;10;28;103;"7.21";"8";35;7;24;87;"7.58";"7.42";"loss"
"Germany";2012;"Netherlands";"Alkulohko";1;2;1234;1288;-1;-54;37;8;25;63;"8.3";"6.1";34;7;26;62;"8.7";"7.3";"loss"
"Germany";2012;"Denmark";"Alkulohko";1;2;1019;1288;-1;-269;15;6;26;38;"5.5";"5.88";34;7;26;62;"8.7";"7.3";"loss"
"Greece";2012;"Germany";"Puolivaliera";4;2;1288;953;2;335;34;7;26;62;"8.7";"7.3";14;5;29;52;"5.4";"6.3";"win"
"Greece";2012;"Poland";"Alkulohko";1;1;518;953;0;-435;NA;NA;NA;NA;NA;NA;14;5;29;52;"5.4";"6.3";"draw"
"Italy";2008;"France";"Alkulohko";0;2;1143;1424;-2;-281;25;5;25;80;"7.17";"5.08";22;9;35;59;"6.58";"4.75";"loss"
"Italy";2008;"Netherlands";"Alkulohko";3;0;1111;1424;3;-313;15;5;26;81;"7.75";"6.42";22;9;35;59;"6.58";"4.75";"win"
"Italy";2008;"Spain";"Puolivaliera";0;0;1303;1424;0;-121;23;8;33;110;"6.58";"6.5";22;9;35;59;"6.58";"4.75";"draw"
"Italy";2012;"England";"Puolivaliera";0;0;1145;977;0;168;17;5;23;43;"4.75";"5.62";17;2;34;50;"6";"4.8";"draw"
"Italy";2012;"Germany";"Valiera";1;2;1288;977;-1;311;34;7;26;62;"8.7";"7.3";17;2;34;50;"6";"4.8";"loss"
"Italy";2012;"Spain";"Alkulohko";1;1;1456;977;0;479;26;6;24;70;"10.75";"7.38";17;2;34;50;"6";"4.8";"draw"
"Italy";2012;"Spain";"Finaali";4;0;1456;977;4;479;26;6;24;70;"10.75";"7.38";17;2;34;50;"6";"4.8";"win"
"Netherlands";2012;"Portugal";"Alkulohko";2;1;996;1234;1;-238;27;14;25;81;"7.9";"8.1";37;8;25;63;"8.3";"6.1";"win"
"Poland";2008;"Austria";"Alkulohko";1;1;341;805;0;-464;NA;NA;NA;NA;NA;NA;24;12;20;61;"5.71";"4.14";"draw"
"Poland";2008;"Germany";"Alkulohko";2;0;1274;805;2;469;35;7;24;87;"7.58";"7.42";24;12;20;61;"5.71";"4.14";"win"
"Poland";2012;"Czech Republic";"Alkulohko";1;0;771;518;1;253;15;8;21;64;"4.7";"5.4";NA;NA;NA;NA;NA;NA;"win"
"Portugal";2008;"Czech Republic";"Alkulohko";1;3;1246;1094;-2;152;27;5;35;86;"7.08";"6.83";24;10;28;103;"7.21";"8";"loss"
"Portugal";2008;"Switzerland";"Alkulohko";2;0;644;1094;2;-450;NA;NA;NA;NA;NA;NA;24;10;28;103;"7.21";"8";"win"
"Portugal";2012;"Czech Republic";"Puolivaliera";0;1;771;996;-1;-225;15;8;21;64;"4.7";"5.4";27;14;25;81;"7.9";"8.1";"loss"
"Portugal";2012;"Germany";"Alkulohko";1;0;1288;996;1;292;34;7;26;62;"8.7";"7.3";27;14;25;81;"7.9";"8.1";"win"
"Portugal";2012;"Denmark";"Alkulohko";2;3;1019;996;-1;23;15;6;26;38;"5.5";"5.88";27;14;25;81;"7.9";"8.1";"loss"
"Republic of Ireland";2012;"Spain";"Alkulohko";4;0;1456;907;4;549;26;6;24;70;"10.75";"7.38";20;8;27;42;"4.75";"4";"win"
"Republic of Ireland";2012;"Italy";"Alkulohko";2;0;977;907;2;70;17;2;34;50;"6";"4.8";20;8;27;42;"4.75";"4";"win"
"Romania";2008;"Netherlands";"Alkulohko";2;0;1111;1069;2;42;15;5;26;81;"7.75";"6.42";26;7;36;65;"5.58";"4.42";"win"
"Romania";2008;"Italy";"Alkulohko";1;1;1424;1069;0;355;22;9;35;59;"6.58";"4.75";26;7;36;65;"5.58";"4.42";"draw"
"Russia";2008;"Netherlands";"Puolivaliera";1;3;1111;846;-2;265;15;5;26;81;"7.75";"6.42";18;7;29;70;"5.75";"5.67";"loss"
"Russia";2008;"Greece";"Alkulohko";0;1;1133;846;-1;287;25;10;25;56;"5.25";"3.67";18;7;29;70;"5.75";"5.67";"loss"
"Russia";2008;"Spain";"Alkulohko";4;1;1303;846;3;457;23;8;33;110;"6.58";"6.5";18;7;29;70;"5.75";"5.67";"win"
"Russia";2012;"Poland";"Alkulohko";1;1;518;975;0;-457;NA;NA;NA;NA;NA;NA;17;4;27;69;"5.9";"7.3";"draw"
"Russia";2012;"Greece";"Alkulohko";1;0;953;975;1;-22;14;5;29;52;"5.4";"6.3";17;4;27;69;"5.9";"7.3";"win"
"Spain";2008;"Germany";"Finaali";0;1;1274;1303;-1;-29;35;7;24;87;"7.58";"7.42";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2008;"Sweden";"Alkulohko";1;2;799;1303;-1;-504;23;12;41;65;"5.75";"4.17";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2008;"Russia";"Valiera";0;3;846;1303;-3;-457;18;7;29;70;"5.75";"5.67";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2008;"Greece";"Alkulohko";1;2;1133;1303;-1;-170;25;10;25;56;"5.25";"3.67";23;8;33;110;"6.58";"6.5";"loss"
"Spain";2012;"Portugal";"Valiera";0;0;996;1456;0;-460;27;14;25;81;"7.9";"8.1";26;6;24;70;"10.75";"7.38";"draw"
"Spain";2012;"Croatia";"Alkulohko";0;1;1053;1456;-1;-403;21;7;12;86;"7";"6.5";26;6;24;70;"10.75";"7.38";"loss"
"Sweden";2008;"Russia";"Alkulohko";2;0;846;799;2;47;18;7;29;70;"5.75";"5.67";23;12;41;65;"5.75";"4.17";"win"
"Sweden";2008;"Greece";"Alkulohko";0;2;1133;799;-2;334;25;10;25;56;"5.25";"3.67";23;12;41;65;"5.75";"4.17";"loss"
"Sweden";2012;"Ukraine";"Alkulohko";2;1;572;910;1;-338;NA;NA;NA;NA;NA;NA;31;11;24;64;"7.7";"7.9";"win"
"Turkey";2008;"Switzerland";"Alkulohko";1;2;644;877;-1;-233;NA;NA;NA;NA;NA;NA;25;11;23;67;"5.25";"4.67";"loss"
"Turkey";2008;"Portugal";"Alkulohko";2;0;1094;877;2;217;24;10;28;103;"7.21";"8";25;11;23;67;"5.25";"4.67";"win"
"Turkey";2008;"Germany";"Valiera";3;2;1274;877;1;397;35;7;24;87;"7.58";"7.42";25;11;23;67;"5.25";"4.67";"win"
"Turkey";2008;"Croatia";"Puolivaliera";1;1;1017;877;0;140;28;8;26;63;"5.75";"5";25;11;23;67;"5.25";"4.67";"draw"
"Ukraine";2012;"England";"Alkulohko";1;0;1145;572;1;573;17;5;23;43;"4.75";"5.62";NA;NA;NA;NA;NA;NA;"win"
