"awayteam";"hometeam";"phase";"goals_home";"goals_away";"fifa_home";"fifa_away";"uefa_home";"uefa_away";"uefa_diff";"fifa_diff";"goal_diff";"homegoals_scored";"homegoals_against";"homeyellow";"homered";"homeoffsides";"homecorners";"homefouls";"homeavrg_ontarget";"homeavrg_offtarget";"awaygoals_scored";"awaygoals_against";"awayyellow";"awayred";"awayoffsides";"awaycorners";"awayfouls";"awayavrg_ontarget";"awayavrg_offtarget";"outcome"
"Croatia";"Italy";"Alkulohko";1;1;977;1053;34357;33003;1354;-76;0;17;2;5;0;34;50;95;6;4,8;21;7;23;0;12;86;157;7;6,5;"draw"
"Croatia";"Republic of Ireland";"Alkulohko";1;3;907;1053;28576;33003;-4427;-146;-2;20;8;19;1;27;42;176;4,75;4;21;7;23;0;12;86;157;7;6,5;"win"
"Czech Republic";"Russia";"Alkulohko";4;1;975;771;33212;29602;3610;204;3;17;4;19;0;27;69;147;5,9;7,3;15;8;16;2;21;64;129;4,7;5,4;"loss"
"Czech Republic";"Greece";"Alkulohko";1;2;953;771;32455;29602;2853;182;-1;14;5;27;1;29;52;138;5,4;6,3;15;8;16;2;21;64;129;4,7;5,4;"win"
"Denmark";"Netherlands";"Alkulohko";0;1;1234;1019;40860;31205;9655;215;-1;37;8;4;0;25;63;114;8,3;6,1;15;6;9;0;26;38;96;5,5;5,88;"draw"
"England";"France";"Alkulohko";1;1;964;1145;30508;33563;-3055;-181;0;15;4;13;0;36;68;119;6,4;6;17;5;13;1;23;43;97;4,75;5,62;"loss"
"England";"Sweden";"Alkulohko";2;3;910;1145;31125;33563;-2438;-235;-1;31;11;12;1;24;64;122;7,7;7,9;17;5;13;1;23;43;97;4,75;5,62;"draw"
"France";"Spain";"Puolivaliera";2;0;1456;964;43116;30508;12608;492;2;26;6;3;0;24;70;78;10,75;7,38;15;4;13;0;36;68;119;6,4;6;"win"
"France";"Sweden";"Alkulohko";2;0;910;964;31125;30508;617;-54;2;31;11;12;1;24;64;122;7,7;7,9;15;4;13;0;36;68;119;6,4;6;"loss"
"France";"Ukraine";"Alkulohko";0;2;572;964;28029;30508;-2479;-392;-2;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;4;13;0;36;68;119;6,4;6;"draw"
"Germany";"Denmark";"Alkulohko";1;2;1019;1288;31205;40446;-9241;-269;-1;15;6;9;0;26;38;96;5,5;5,88;34;7;7;0;26;62;68;8,7;7,3;"loss"
"Germany";"Netherlands";"Alkulohko";1;2;1234;1288;40860;40446;414;-54;-1;37;8;4;0;25;63;114;8,3;6,1;34;7;7;0;26;62;68;8,7;7,3;"loss"
"Greece";"Germany";"Puolivaliera";4;2;1288;953;40446;32455;7991;335;2;34;7;7;0;26;62;68;8,7;7,3;14;5;27;1;29;52;138;5,4;6,3;"draw"
"Greece";"Poland";"Alkulohko";1;1;518;953;23806;32455;-8649;-435;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;5;27;1;29;52;138;5,4;6,3;"win"
"Italy";"England";"Puolivaliera";0;0;1145;977;33563;34357;-794;168;0;17;5;13;1;23;43;97;4,75;5,62;17;2;5;0;34;50;95;6;4,8;"loss"
"Italy";"Germany";"Valiera";1;2;1288;977;40446;34357;6089;311;-1;34;7;7;0;26;62;68;8,7;7,3;17;2;5;0;34;50;95;6;4,8;"loss"
"Italy";"Spain";"Alkulohko";1;1;1456;977;43116;34357;8759;479;0;26;6;3;0;24;70;78;10,75;7,38;17;2;5;0;34;50;95;6;4,8;"win"
"Italy";"Spain";"Finaali";4;0;1456;977;43116;34357;8759;479;4;26;6;3;0;24;70;78;10,75;7,38;17;2;5;0;34;50;95;6;4,8;"win"
"Netherlands";"Portugal";"Alkulohko";2;1;996;1234;31717;40860;-9143;-238;1;27;14;12;0;25;81;125;7,9;8,1;37;8;4;0;25;63;114;8,3;6,1;"win"
"Poland";"Czech Republic";"Alkulohko";1;0;771;518;29602;23806;5796;253;1;15;8;16;2;21;64;129;4,7;5,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;"loss"
"Portugal";"Denmark";"Alkulohko";2;3;1019;996;31205;31717;-512;23;-1;15;6;9;0;26;38;96;5,5;5,88;27;14;12;0;25;81;125;7,9;8,1;"loss"
"Portugal";"Germany";"Alkulohko";1;0;1288;996;40446;31717;8729;292;1;34;7;7;0;26;62;68;8,7;7,3;27;14;12;0;25;81;125;7,9;8,1;"win"
"Portugal";"Czech Republic";"Puolivaliera";0;1;771;996;29602;31717;-2115;-225;-1;15;8;16;2;21;64;129;4,7;5,4;27;14;12;0;25;81;125;7,9;8,1;"win"
"Republic of Ireland";"Italy";"Alkulohko";2;0;977;907;34357;28576;5781;70;2;17;2;5;0;34;50;95;6;4,8;20;8;19;1;27;42;176;4,75;4;"win"
"Republic of Ireland";"Spain";"Alkulohko";4;0;1456;907;43116;28576;14540;549;4;26;6;3;0;24;70;78;10,75;7,38;20;8;19;1;27;42;176;4,75;4;"loss"
"Russia";"Greece";"Alkulohko";1;0;953;975;32455;33212;-757;-22;1;14;5;27;1;29;52;138;5,4;6,3;17;4;19;0;27;69;147;5,9;7,3;"win"
"Russia";"Poland";"Alkulohko";1;1;518;975;23806;33212;-9406;-457;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;17;4;19;0;27;69;147;5,9;7,3;"win"
"Spain";"Croatia";"Alkulohko";0;1;1053;1456;33003;43116;-10113;-403;-1;21;7;23;0;12;86;157;7;6,5;26;6;3;0;24;70;78;10,75;7,38;"draw"
"Spain";"Portugal";"Valiera";0;0;996;1456;31717;43116;-11399;-460;0;27;14;12;0;25;81;125;7,9;8,1;26;6;3;0;24;70;78;10,75;7,38;"draw"
"Sweden";"Ukraine";"Alkulohko";2;1;572;910;28029;31125;-3096;-338;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;11;12;1;24;64;122;7,7;7,9;"loss"
"Ukraine";"England";"Alkulohko";1;0;1145;572;33563;28029;5534;573;1;17;5;13;1;23;43;97;4,75;5,62;NA;NA;NA;NA;NA;NA;NA;NA;NA;"win"
